Estacion	Altitud	EneP	EneTO	EneTM	EneTMin	FebP	FebTO	FebTM	FebTMin	MarP	MarTO	MarTM	MarTMin	AbrP	AbrTO	AbrTM	AbrTMin	MayP	MayTO	MayTM	MayTMin	JunP	JunTO	JunTM	JunTMin	JulP	JulTO	JulTM	JulTMin	AgoP	AgoTO	AgoTM	AgoTMin	SepP	SepTO	SepTM	SepTMin	OctP	OctTO	OctTM	OctTMin	NovP	NovTO	NovTM	NovTMin	DicP	DicTO	DicTM	DicTMin
16120	2048.00	15.22	4.30	23.40	2.27	8.32	5.57	25.58	3.35	8.15	8.05	28.27	4.72	11.31	11.00	29.94	7.00	37.57	13.67	30.18	10.06	134.79	15.35	27.48	12.82	183.80	14.50	24.89	12.30	186.68	14.33	24.65	12.28	153.93	13.91	24.35	11.80	52.51	11.18	24.44	8.82	18.87	7.53	24.17	5.15	7.66	5.24	23.30	3.00
16124	2409.00	16.62	2.07	19.88	0.16	11.90	3.71	21.51	1.48	13.58	6.66	23.29	3.71	30.54	10.38	24.81	6.12	49.26	13.07	25.28	8.47	119.19	14.25	22.93	10.48	183.64	13.37	21.19	10.46	149.20	12.90	21.13	10.26	129.90	12.20	20.65	9.86	66.09	9.31	20.63	6.57	18.51	5.93	20.78	2.93	6.29	3.08	20.06	0.72
16133	900.00	21.67	12.66	31.06	10.62	2.83	13.18	33.02	10.99	5.64	15.17	34.79	12.12	1.74	17.93	36.80	14.26	29.02	20.43	36.90	17.01	164.85	22.01	34.25	19.53	217.16	20.97	31.98	18.73	181.63	20.60	31.60	18.51	140.88	20.28	31.37	18.29	56.02	18.85	31.51	16.61	24.03	16.52	31.48	14.16	5.36	14.11	30.80	11.80
16136	1540.00	31.78	12.78	24.13	10.04	7.59	13.93	26.06	11.09	4.65	16.10	28.64	12.80	9.45	19.18	30.19	14.56	46.00	20.34	30.60	16.08	186.15	19.35	27.80	16.27	267.53	18.44	25.58	15.81	251.75	18.23	25.59	15.59	211.17	18.07	25.37	15.57	85.41	17.45	25.41	14.68	23.07	16.12	25.38	12.97	9.89	13.80	24.62	10.99
16141	1524.00	16.00	10.53	25.79	6.24	4.59	11.96	27.59	7.58	3.66	13.81	29.82	9.35	6.21	16.91	32.21	11.98	22.26	19.80	33.67	14.29	165.99	20.44	31.91	14.83	202.96	18.94	28.69	13.86	168.76	18.65	28.83	14.10	129.99	18.32	28.53	13.73	45.94	16.86	28.41	12.23	9.15	14.13	27.65	9.14	4.90	12.02	26.30	7.05
16142	1986.00	22.35	5.08	21.97	3.00	6.44	6.32	23.75	3.92	6.29	9.68	26.28	6.40	13.56	13.02	27.95	9.33	41.60	15.56	28.58	11.91	141.84	16.91	26.61	13.73	217.47	15.28	23.94	12.76	197.69	14.59	23.59	12.51	157.62	13.53	22.87	11.67	68.63	11.22	22.95	9.30	12.54	8.76	23.49	6.52	13.86	6.32	21.94	4.29
16151	940.00	48.61	13.67	29.20	12.05	2.60	13.71	30.00	11.82	1.92	14.44	30.95	12.15	0.63	16.11	32.25	13.78	22.54	18.91	32.64	16.24	122.97	21.06	30.96	19.12	175.12	20.92	30.03	19.06	171.93	20.27	29.69	18.67	180.18	19.93	29.06	18.51	121.49	19.32	29.79	17.81	24.03	17.73	30.27	15.94	8.74	15.70	29.99	14.00
16159	1720.00	10.29	10.08	25.17	7.03	5.18	11.46	26.68	8.11	3.35	13.37	29.03	9.77	5.97	15.38	31.12	11.78	32.30	17.43	32.11	13.61	132.06	17.59	29.33	14.68	200.07	16.85	26.20	14.03	177.94	16.43	25.92	13.92	134.40	16.09	25.87	13.60	46.84	14.01	26.18	11.32	11.49	12.58	26.17	9.48	5.08	11.27	25.48	7.85
16162	1633.00	16.06	8.58	24.95	6.07	5.38	9.48	26.64	6.98	4.37	11.07	28.92	8.32	5.46	13.84	30.85	10.64	48.67	16.32	31.32	13.31	153.99	17.25	29.52	15.10	205.28	16.32	26.31	14.39	190.31	16.27	26.26	14.08	125.55	15.70	26.29	13.54	39.68	13.75	26.63	11.26	12.51	10.92	26.38	8.08	8.84	8.93	25.24	6.55
16165	1611.00	52.33	9.74	24.33	8.18	6.36	10.12	26.06	8.58	4.68	11.68	28.06	9.89	4.71	14.07	29.56	11.59	28.68	15.94	29.74	13.35	271.11	17.31	27.20	15.23	298.03	16.55	25.84	14.68	319.98	16.39	25.74	14.52	264.57	16.25	25.54	14.47	136.90	14.64	25.94	13.06	28.41	12.83	25.74	11.24	12.65	10.99	24.63	9.57
